"ticker"	"sector"	"name.x"	"marginabile"	"last_day_score"	"last_day_volume"	"name.y"	"date_last_swing"	"lo3"	"name"	"date_last_change"	"rrg"
"LLY.DE"	NA	NA	NA	3	1522	NA	2026-04-29	728.5	NA	NA	NA
"ENEL.MI"	"Utilities"	"ENEL"	"si"	2	13184282	"ENEL"	2026-03-23	8.95	"ENEL"	2026-07-28	1
"SFL.MI"	"Health Technology"	"SAFILO GROUP"	"si"	2	667033	"SAFILO GROUP"	2026-05-05	1.5	"SAFILO GROUP"	2026-07-23	NA
"COM.MI"	"Producer Manufacturing"	"COMER INDUSTRIES"	NA	2	17755	"COMER INDUSTRIES"	2026-06-26	44.5	"COMER INDUSTRIES"	2026-07-23	NA
"ELN.MI"	"Health Technology"	"EL.EN"	NA	2	60654	"EL.EN"	2026-03-20	11.38	"EL.EN"	2026-07-08	NA
"SIT.MI"	"Producer Manufacturing"	"SIT"	NA	2	1877	"SIT"	2026-06-26	1.99	"SIT"	2026-07-07	NA
"ILTY.MI"	"Finance"	"ILLIMITY BANK"	NA	2	0	"ILLIMITY BANK"	2025-04-07	2.69	"ILLIMITY BANK"	2025-09-16	NA
"SRS.MI"	"Energy Minerals"	"SARAS"	"si"	2	0	"SARAS"	2024-07-29	1.59	"SARAS"	2024-08-28	NA
"SPM.MI"	"Industrial Services"	"SAIPEM"	"si"	1	81494328	"SAIPEM"	2025-11-07	2.17	"SAIPEM"	2026-07-28	NA
"IG.MI"	"Utilities"	"ITALGAS"	"si"	1	5303023	"ITALGAS"	2026-07-28	9.6	"ITALGAS"	2026-07-28	NA
"GSP.MI"	"Utilities"	"GAS PLUS"	NA	1	159885	"GAS PLUS"	2026-06-18	5.3	"GAS PLUS"	2026-07-28	NA
"GEL.MI"	"Producer Manufacturing"	"GEL"	NA	1	23125	"GEL"	2025-07-21	1.85	"GEL"	2026-07-23	NA
"MAIRE.MI"	"Industrial Services"	"MAIRE"	"si"	1	970400	"MAIRE"	2026-03-20	12.15	"MAIRE"	2026-07-17	NA
"CLI.MI"	"Consumer Non-Durables"	"CENTRALE DEL LATTE D'ITALIA"	NA	1	51	"CENTRALE DEL LATTE D'ITALIA"	2026-06-25	3.99	"CENTRALE DEL LATTE D'ITALIA"	2026-07-15	1
"TEN.MI"	"Non-Energy Minerals"	"TENARIS"	"si"	0	1169991	"TENARIS"	2025-12-19	16.1	"TENARIS"	2026-07-22	NA
"ENI.MI"	"Energy Minerals"	"ENI"	"si"	0	8831375	"ENI"	2026-07-02	19.87	"ENI"	2026-07-20	NA
"B.MI"	"Finance"	"BASTOGI SPA"	NA	0	19169	"BASTOGI SPA"	2026-06-19	0.93	"BASTOGI SPA"	2026-07-03	NA
"SCM.MI"	"Finance"	"SOLUTIONS CAPITAL MANAGEMENT SIM"	NA	0	0	"SOLUTIONS CAPITAL MANAGEMENT SIM"	2024-11-08	2.92	"SOLUTIONS CAPITAL MANAGEMENT SIM"	2026-04-30	NA
"IVS.MI"	"Retail Trade"	"IVS GROUP"	NA	0	0	"IVS GROUP"	2023-11-13	5.02	"IVS GROUP"	2024-10-18	NA
"IGD.MI"	NA	NA	NA	-1	90269	NA	2025-12-11	3.28	NA	2026-07-28	NA
"FM.MI"	"Commercial Services"	"FIERA MILANO"	NA	-1	418529	"FIERA MILANO"	2026-02-11	6.75	"FIERA MILANO"	2026-07-24	NA
"STAR7.MI"	"Industrial Services"	"STAR7"	NA	-1	860	"STAR7"	2025-09-04	5.4	"STAR7"	2026-07-22	NA
"DIS.MI"	"Transportation"	"D'AMICO"	NA	-2	151275	"D'AMICO"	2026-07-01	6.34	"D'AMICO"	2026-07-24	NA
"GF.MI"	"Finance"	"GENERALFINANCE"	NA	-3	9362	"GENERALFINANCE"	2026-06-10	25.6	"GENERALFINANCE"	2026-07-22	NA
